                                                    car;area;uf;mun;modulo_fiscal;tipo_imovel;situacao;condicao                                                    
 AC-1200013-C9DCD2B8D0B14FA3A0948C044F45416D;517.487;AC;Acrelândia;0.5175;IRU;AT;Aguardando analise
 AC-1200013-A99B330A8F3343749E8958055BB52874;399.926;AC;Acrelândia;0.3999;IRU;AT;Em análise
 AC-1200013-9D92B6081E9B4C06B8C27105845F7E5A;433.637;AC;Acrelândia;0.4336;IRU;PE;Aguardando analise
 AC-1200013-D68ABDBDAFE24E2D98CB9DA0DBADB93A;616.677;AC;Acrelândia;0.6167;IRU;AT;Aguardando analise
 AC-1200013-4903787413E945F4A8C09C193E2720A4;255.214;AC;Acrelândia;0.2552;IRU;AT;Aguardando analise
 AC-1200013-3C74B2B662DE4BF0A6BDB00095B4C9EA;591.631;AC;Acrelândia;0.5916;IRU;AT;Aguardando analise
 AC-1200013-EDB6162956F24E5D952AD36207F316A1;559.127;AC;Acrelândia;0.5591;IRU;AT;Aguardando analise
 AC-1200013-D89458C35E4C4556885B9532F65688F3;291.696;AC;Acrelândia;0.2917;IRU;AT;Aguardando analise
 AC-1200013-45B9B433DCD34F2A8EB2A0081A71CF90;3.108.510;AC;Acrelândia;31.085;IRU;AT;Aguardando analise
 AC-1200013-940EE746C9054B9CB1DA57AC208C4291;1.008.595;AC;Acrelândia;10.086;IRU;AT;Aguardando analise
 AC-1200013-9A096350E8B64B8AB093B6460C9CE153;483.185;AC;Acrelândia;0.4832;IRU;AT;Em análise
 AC-1200013-C5B7DFA956414A5A8C47704C349E8F84;508.125;AC;Acrelândia;0.5081;IRU;PE;Analisado com pendências, aguardando retificação e/ou apresentação de documentos
 AC-1200013-23C936C96CB848BEA93BE49A4432A93B;496.400;AC;Acrelândia;0.4964;IRU;AT;Em análise
 AC-1200013-BAAF3A0F2B6F4D3DB1BC59EB6D456068;937.640;AC;Acrelândia;0.9376;IRU;AT;Em análise
 AC-1200013-1C6D37D8831A4A8983942D2C6DE13730;928.914;AC;Acrelândia;0.9289;IRU;AT;Em análise
 AC-1200013-A7BC62344CBD42ECB6EAD79F17020996;265.930;AC;Acrelândia;0.2659;IRU;AT;Em análise
 AC-1200013-E330A2A01E7D493488345181E5AC63D0;301.824;AC;Acrelândia;0.3018;IRU;AT;Aguardando analise
