"","nome_inicial","long_inicial","lat_incial","est_inicial","mun_inicial","cod_mun","nm_mun","estado","longitude","latitude","nome","pais","id","id_duplicado"
"272","Fazenda Marrecas XIV",-49.34192,-24.64757,NA,NA,"4128633","doutor ulysses","pr",-49.34192,-24.64757,"fazendamarrecasxiv","br","br_pr_fazendamarrecasxiv_4128633",FALSE
"273","Moranga 2",-49.34064,-25.38222,NA,NA,"4106902","curitiba","pr",-49.34064,-25.38222,"moranga2","br","br_pr_moranga2_4106902",FALSE
"274","Rio Maura�a�cio 2",-49.33959,-25.72012,NA,NA,"4114302","mandirituba","pr",-49.33959,-25.72012,NA,"br","br_pr_NA_4114302",FALSE
"275","Moranga 5",-49.33911,-25.38316,NA,NA,"4106902","curitiba","pr",-49.33911,-25.38316,"moranga5","br","br_pr_moranga5_4106902",FALSE
"276","Fazenda Marrecas III",-49.33689,-24.65433,NA,NA,"4128633","doutor ulysses","pr",-49.33689,-24.65433,"fazendamarrecasiii","br","br_pr_fazendamarrecasiii_4128633",FALSE
"277","Moranga 4",-49.33424,-25.36954,NA,NA,"4106902","curitiba","pr",-49.33424,-25.36954,"moranga4","br","br_pr_moranga4_4106902",FALSE
"278","Moranga 6",-49.33243,-25.37505,NA,NA,"4106902","curitiba","pr",-49.33243,-25.37505,"moranga6","br","br_pr_moranga6_4106902",FALSE
"279","Fazenda Marrecas XIII",-49.33161,-24.64276,NA,NA,"4128633","doutor ulysses","pr",-49.33161,-24.64276,"fazendamarrecasxiii","br","br_pr_fazendamarrecasxiii_4128633",FALSE
"280","Constantino 1",-52.90733,-25.58639,NA,NA,"4125209","são jorge d'oeste","pr",-52.90733,-25.58639,"constantino1","br","br_pr_constantino1_4125209",FALSE
"281","Sa�a�tio Arqueologico de Mandirituba",-49.3203,-25.7613,NA,NA,"4114302","mandirituba","pr",-49.3203,-25.7613,NA,"br","br_pr_NA_4114302",TRUE
"282","Walgimiro de Matos I",-49.31521,-24.63513,NA,NA,"4128633","doutor ulysses","pr",-49.31521,-24.63513,"walgimirodematosi","br","br_pr_walgimirodematosi_4128633",FALSE
"283","Rio Tangua 1",-49.31041,-25.35988,NA,NA,"4100400","almirante tamandaré","pr",-49.31041,-25.35988,"riotangua1","br","br_pr_riotangua1_4100400",FALSE
"284","Ribeirao Grande",-49.3079,-25.98711,NA,NA,"4100301","agudos do sul","pr",-49.3079,-25.98711,"ribeiraogrande","br","br_pr_ribeiraogrande_4100301",FALSE
"285","Rio Tangua 3",-49.30529,-25.3537,NA,NA,"4100400","almirante tamandaré","pr",-49.30529,-25.3537,"riotangua3","br","br_pr_riotangua3_4100400",FALSE
"286","Arroio da Prensa 4",-49.30127,-25.59148,NA,NA,"4106902","curitiba","pr",-49.30127,-25.59148,"arroiodaprensa4","br","br_pr_arroiodaprensa4_4106902",FALSE
"287","Arroio da Prensa 3",-49.29943,-25.59213,NA,NA,"4106902","curitiba","pr",-49.29943,-25.59213,"arroiodaprensa3","br","br_pr_arroiodaprensa3_4106902",FALSE
"288","Cal do Iguacu 1",-49.25207,-25.58319,NA,NA,"4106902","curitiba","pr",-49.25207,-25.58319,"caldoiguacu1","br","br_pr_caldoiguacu1_4106902",FALSE
"289","Olaria Pelanda 2",-49.25124,-25.58404,NA,NA,"4106902","curitiba","pr",-49.25124,-25.58404,"olariapelanda2","br","br_pr_olariapelanda2_4106902",FALSE
"290","Cal do Iguacu 2",-49.25034,-25.58451,NA,NA,"4106902","curitiba","pr",-49.25034,-25.58451,"caldoiguacu2","br","br_pr_caldoiguacu2_4106902",FALSE
"291","Constantino 2",-52.90243,-25.5819,NA,NA,"4125209","são jorge d'oeste","pr",-52.90243,-25.5819,"constantino2","br","br_pr_constantino2_4125209",FALSE
"292","Agostinho Toniolo",-49.20799,-25.2874,NA,NA,"4105805","colombo","pr",-49.20799,-25.2874,"agostinhotoniolo","br","br_pr_agostinhotoniolo_4105805",FALSE
"293","Florido Strapasson",-49.19927,-25.27445,NA,NA,"4105805","colombo","pr",-49.19927,-25.27445,"floridostrapasson","br","br_pr_floridostrapasson_4105805",FALSE
"294","Jag 20",-49.16131,-28.77905,NA,NA,"4208807","jaguaruna","sc",-49.16131,-28.77905,"jag20","br","br_sc_jag20_4208807",FALSE
"295","Rio Pequeno 2",-49.13692,-25.52243,NA,NA,"4125506","são josé dos pinhais","pr",-49.13692,-25.52243,"riopequeno2","br","br_pr_riopequeno2_4125506",FALSE
"296","Rio Pequeno 3",-49.13129,-25.53424,NA,NA,"4125506","são josé dos pinhais","pr",-49.13129,-25.53424,"riopequeno3","br","br_pr_riopequeno3_4125506",FALSE
"297","Pinheiro da Divisa 2",-49.12988,-25.53585,NA,NA,"4125506","são josé dos pinhais","pr",-49.12988,-25.53585,"pinheirodadivisa2","br","br_pr_pinheirodadivisa2_4125506",FALSE
"298","Pinheiro da Divisa 1",-49.12815,-25.53483,NA,NA,"4125506","são josé dos pinhais","pr",-49.12815,-25.53483,"pinheirodadivisa1","br","br_pr_pinheirodadivisa1_4125506",FALSE
