"","cod1","cod","nm_mun","estado","longitude","latitude","nome","pais","id","conferir","sigla","nome1","est1","regiao","bioma","x","y"
"2235","3009","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2236","301","1504208","marabá","pa",-49.0426,-5.1732,"cavalobranco","br","br_pa_cavalobranco_1504208",TRUE,"na","Cavalo Branco","PA","Northern","Amazon_Forest",-5.1732,-49.0426
"2237","3010","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2238","3011","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2239","3012","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2240","3013","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2241","3014","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2242","3015","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2243","3016","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2244","3017","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2245","3018","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2246","3019","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2247","302","1504208","marabá","pa",-49.0426,-5.1732,"cavalobranco","br","br_pa_cavalobranco_1504208",TRUE,"na","Cavalo Branco","PA","Northern","Amazon_Forest",-5.1732,-49.0426
"2248","3020","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2249","3021","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2250","3022","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2251","3023","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2252","3024","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2253","3025","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2254","3026","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2255","3027","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2256","3028","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2257","3029","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2258","303","1504208","marabá","pa",-49.0426,-5.1732,"cavalobranco","br","br_pa_cavalobranco_1504208",TRUE,"na","Cavalo Branco","PA","Northern","Amazon_Forest",-5.1732,-49.0426
"2259","3030","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2260","3031","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2261","3032","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2262","3033","3304524","rio das ostras","rj",-41.939444,-22.527778,"sambaquidetarioba","br","br_rj_sambaquidetarioba_3304524",TRUE,"na","Sambaqui de Tarioba","RJ","Southeastern","Atlantic_Forest",-22.527778,-41.939444
"2263","3034","4100202","adrianópolis","pr",-48.75433758,-24.69471048,"sambaquitatupeva","br","br_pr_sambaquitatupeva_4100202",FALSE,"na","Sambaqui Tatupeva","SP","Southeastern","Atlantic_Forest",-24.69471048,-48.75433758
"2264","3035","4205407","florianópolis","sc",-48.50109612,-27.66141392,"sambaquitavaresiii","br","br_sc_sambaquitavaresiii_4205407",FALSE,"na","Sambaqui Tavares III","SC","Southern","Coastal/marine",-27.66141392,-48.50109612
"2265","3036","3509254","cajati","sp",-48.19470013,-24.82171077,"sambaquitimbuva","br","br_sp_sambaquitimbuva_3509254",FALSE,"na","Sambaqui Timbuva","SP","Southeastern","Atlantic_Forest",-24.82171077,-48.19470013
"2266","3037","4304630","capão da canoa","rs",-49.95205549,-29.63155931,"sambaquidocamping","br","br_rs_sambaquidocamping_4304630",FALSE,"na","Sambaqui do Camping","RS","Southern","Coastal/marine",-29.63155931,-49.95205549
"2267","3038","4321501","torres","rs",-49.7862024,-29.4115967,"sambaquidorecreio","br","br_rs_sambaquidorecreio_4321501",FALSE,"na","Sambaqui do Recreio","RS","Southern","Coastal/marine",-29.4115967,-49.7862024
"2268","3039","4321501","torres","rs",-49.7862024,-29.4115967,"sambaquidorecreio","br","br_rs_sambaquidorecreio_4321501",TRUE,"na","Sambaqui do Recreio","RS","Southern","Coastal/marine",-29.4115967,-49.7862024
"2269","304","1506807","santarém","pa",-54.7811,-2.6403,"cedro","br","br_pa_cedro_1506807",FALSE,"na","Cedro","PA","Northern","Amazon_Forest",-2.6403,-54.7811
"2270","3040","4321501","torres","rs",-49.75973789,-29.38414462,"sambaquiitapeva","br","br_rs_sambaquiitapeva_4321501",FALSE,"RS-LN-201","Sambaqui Itapeva","RS","Southern","Coastal/marine",-29.38414462,-49.75973789
"2271","3041","4207205","imaruí","sc",-48.86888889,-28.3175,"sambaquisamambaia","br","br_sc_sambaquisamambaia_4207205",FALSE,"na","Sambaqui Samambaia","SC","Southern","Coastal/marine",-28.3175,-48.86888889
"2272","3042","4321667","três cachoeiras","rs",-49.8791484,-29.424919,"sambaquidadorva","br","br_rs_sambaquidadorva_4321667",FALSE,"LII-43","Sambaqui da Dorva","RS","Southern","Coastal/marine",-29.424919,-49.8791484
"2273","3043","3301850","guapimirim","rj",-42.942939,-22.69735,"sambaquisampaioi","br","br_rj_sambaquisampaioi_3301850",FALSE,"na","Sambaqui Sampaio I","RJ","Southeastern","Coastal/marine",-22.69735,-42.942939
"2274","3044","3301850","guapimirim","rj",-42.942939,-22.69735,"sambaquisampaioi","br","br_rj_sambaquisampaioi_3301850",TRUE,"na","Sambaqui Sampaio I","RJ","Southeastern","Coastal/marine",-22.69735,-42.942939
"2275","3045","3301850","guapimirim","rj",-42.942939,-22.69735,"sambaquisampaioi","br","br_rj_sambaquisampaioi_3301850",TRUE,"na","Sambaqui Sampaio I","RJ","Southeastern","Coastal/marine",-22.69735,-42.942939
"2276","3046","3301702","duque de caxias","rj",-43.294563,-22.731624,"sambaquisaobento","br","br_rj_sambaquisaobento_3301702",FALSE,"na","Sambaqui Sao Bento","RJ","Southeastern","Coastal/marine",-22.731624,-43.294563
"2277","3047","3301850","guapimirim","rj",-42.947464,-22.681583,"sambaquiseujorge","br","br_rj_sambaquiseujorge_3301850",FALSE,"na","Sambaqui Seu Jorge","RJ","Southeastern","Coastal/marine",-22.681583,-42.947464
