"","uf","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"228","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,"asqusmfp",1
"229","PA",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,"thuspg",1
"230","PA",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,"thusmg",1
"231","PA",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,"qpip",19
"232","PA",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,"thsdm",1
"233","PA",0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,"assdmfpm",2
"234","PA",0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,"assdmfm",12
"235","PA",0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,"tnhasuspg",75
"236","PA",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"uus",9
"237","PA",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,"uasus",4
"238","PA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,"pimfmg",6
"239","PA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,"pimfpg",5
"240","PA",0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,"pimfpmg",2
"241","PA",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,"mimg",1
"242","PA",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,"assdg",4
"243","PA",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,"assdpg",14
"244","PA",0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,"tnhasusmfg",98
"245","PA",0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,"tnhasusmfp",14
"246","PA",0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,"tnhasusmfpg",17
"247","PA",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,"assdpm",11
"248","PA",0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,"qusmf",1
"249","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,"asqus",2
"250","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,"asqusmf",1
"251","PA",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,"asqpm",1
"252","PA",0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,"asqpmg",4
"253","PA",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,"aspimfm",27
"254","PA",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,"aspipmg",2
"255","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,"asqusg",92
"256","PA",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,"qpig",3
"257","PA",0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,"asquspg",1
"258","PA",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,"aspimg",1
"259","PA",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,"qsdpm",2
"260","PA",0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,"qsdpg",3
"261","PA",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,"thasusmfpg",1
"262","PA",0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,"usmfpmg",13
"263","PA",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,"uaspg",7
"264","PA",0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,"uasmfpg",1
"265","PA",1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,"thasuspm",7
"266","PA",1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,"thasusmfp",15
"267","PA",0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,"uasusmf",46
"268","PA",0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,"uasusg",122
"269","PA",0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,"uasusmfg",532
"270","PA",0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,"qsdmfg",6
"271","PA",0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,"uusg",3
"272","PA",0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,"uqmfg",2
"273","PA",0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,"usdp",1
"274","PA",0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,"usdmfp",1
"275","PA",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"thmf",4
"276","PA",0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,"tiasusg",1
"277","PA",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,"tiusmg",1
"278","RO",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,"upm",2
"279","RO",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"thsdp",2
"280","RR",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"thuus",8
"281","RR",1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"thsdmf",2
"282","RR",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,"aspi",4
"283","RR",0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,"tiusp",2
"284","RR",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,"tius",2
"285","RR",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,"tiusm",2
"286","TO",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,"tnhpg",2
