,id,distancia_quilombola_metros,distancia_ind_metros,distancia_urb_metros,distancia_outros_metros,distancia_militar_metros,distancia_semdes_metros,distancia_pi_metros,distancia_us_metros,distancia_min_metros,distancia_p_metros,distancia_m_metros,distancia_g_metros
33,153,319215.159055063,78432.24607772386,32543.838992158635,1292.394097937844,60.25605962660019,1024.3901389484574,28755.13580813387,5744.90398135501,546.6910270525254,560.0325728507839,3664.0297249954997,5672.2960315959945
34,169,369989.2898786332,31068.17286729722,284197.9053103519,1292.394097937844,60.25605962660019,8090.647899201163,37251.773294677245,18617.99291145637,1064.9379630235774,1957.0982328954005,1436.0750834694786,10005.928696152605
35,173,372750.44562261563,23737.41772486737,233995.7559143868,1292.394097937844,8695.758554008988,2434.7787287538436,38390.45698311152,3916.990744721835,2499.432438424995,4194.8665927137035,419.21304666231697,1857.9406996483597
36,174,372647.4529533594,22791.250899691007,233192.4701020009,1292.394097937844,8695.758554008988,2434.7787287538436,38854.96222851891,4363.061185064689,3457.6099346978845,5138.76460244101,971.5795519991362,1370.140228069464
37,179,266985.25798767153,11203.719385795845,104516.53033664318,1292.394097937844,8695.758554008988,1763.8366589348557,130269.47641435967,30091.65871700596,1256.893284024526,861.1671938357506,14902.400191076627,9755.67343197705
38,182,387626.4211390703,17976.132882845945,276729.7213287933,1292.394097937844,60.25605962660019,10431.4389455232,53350.841150292435,27495.205296405325,5380.594404868018,1381.4935243605757,2077.9953231798286,8796.498002911072
39,183,371934.54152557114,50679.44256420739,313588.55351040245,1292.394097937844,8695.758554008988,10431.4389455232,26644.65284260362,25717.264055826447,3642.0276712075593,2541.3084101972554,4676.156099661531,1786.7667201308395
40,184,366946.6689135758,31994.934701467802,278793.8053803833,1292.394097937844,60.25605962660019,1026.4343994632154,38868.52970028371,12805.248121907123,3441.397874549912,6425.045408728324,2554.5939457006957,580.6251295178153
41,185,230537.672244458,254.6666227539891,61255.62969076741,751.6686366645192,8695.758554008988,16155.36385823668,104518.33852865662,43421.89910846223,1.6082057467909119,394.23894539356195,1716.2283529128056,5488.005178594053
42,186,384048.6534635049,35206.7227780136,295456.80792205007,1292.394097937844,8695.758554008988,10431.4389455232,44860.70273858174,32840.631678610494,174.9397835862406,2053.523657773162,1445.8807224668315,3997.605651561677
43,187,339798.97581381135,7903.622310540308,146978.33231230182,1292.394097937844,8695.758554008988,1913.6921510045677,111843.20209562649,34106.18717953774,6698.506928822824,760.9294548536208,5471.419518379708,4236.532606156065
44,188,303431.2692747975,9868.182825235683,139848.35835467177,1292.394097937844,8695.758554008988,676.9547167417585,148671.89290343795,60692.85367687774,1617.2583582068742,331.91608438266576,19338.003043559616,28992.878522181854
45,193,372442.54612654314,34587.39748794698,291829.1112126792,1292.394097937844,8695.758554008988,8090.647899201163,36571.92637311088,22889.00877430075,6779.657885375836,9004.898215289164,12533.130230203566,4462.486649399087
46,196,282571.1417570825,3177.8852001956193,127668.65341967593,1292.394097937844,8695.758554008988,1913.6921510045677,148918.95242044135,39787.726130549934,339.52617730944957,2095.2985759855005,928.4271543399313,27724.690607839042
47,200,300319.08892943227,9355.028781159073,136651.1914751562,1292.394097937844,8695.758554008988,1913.6921510045677,151506.42053824718,57538.8500163752,1044.216547143099,118.92301058389738,16180.867737615145,29225.511128345737
48,201,298978.57286124455,10571.192622393284,134354.83086957582,1292.394097937844,8695.758554008988,676.9547167417585,150090.5859238713,56203.33107281781,743.7649026643816,1407.7785098243558,14993.486797283565,30459.444060572347
49,209,385452.4613265905,24743.175586415662,283639.1095250284,1292.394097937844,60.25605962660019,10431.4389455232,49610.68532029456,33164.17333183172,423.3971302057145,3822.061007866337,722.3300782148553,2421.055914011343
50,211,369847.1189833449,50183.872275359594,314532.95744239347,1292.394097937844,8695.758554008988,10431.4389455232,23958.526993410964,25127.613544712305,6337.661924663301,5228.01831539332,3840.0737327731513,2209.3745564201813
51,212,370685.0671273491,42076.53763387267,308650.93491793046,1292.394097937844,8695.758554008988,10431.4389455232,21805.097297058757,22549.386923528768,2957.0021313128527,6602.0055449725605,2469.3603089672824,811.6964769261625
52,213,292085.7425967887,8473.382336033354,131379.611735329,1292.394097937844,8695.758554008988,676.9547167417585,149426.75810593393,49305.83056926729,2308.3750234836343,4155.371547338758,8138.530507022834,28415.56918100886
53,215,238981.46569213478,810.9785224171402,77321.89106989233,751.6686366645192,8695.758554008988,4768.964644531824,114892.45412114916,29287.682838250224,1039.7984827857902,367.79891817385436,8381.484089795646,16463.843560313268
54,217,324460.8886463754,11738.027280063106,137462.58610524226,1292.394097937844,8695.758554008988,165.9417732196092,126719.1448262617,49990.0426524502,4707.893082813972,494.4227647664312,5040.368804912104,19896.406348473658
55,225,303508.6455980094,7208.049811643788,144180.12965993237,1292.394097937844,8695.758554008988,676.9547167417585,149446.91795986338,61110.39170912557,461.72386699638645,1818.9312122764027,20040.14853534681,24817.569732946424
