"","X","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g"
"1439",1439,1101492,"São Francisco do Guaporé","RO",-63.47738,-12.261916,"Bom Futuro",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1440",1440,1101492,"São Francisco do Guaporé","RO",-63.497646,-12.263051,"S?o Joaquim",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1441",1441,1101492,"São Francisco do Guaporé","RO",-63.096553,-12.553154,"RO-PN-08: Monte Castelo",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"1442",1442,1100346,"Alvorada D'Oeste","RO",-62.23658253,-11.29473088,"Muqui",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"1443",1443,1100148,"Nova Brasilândia D'Oeste","RO",-62.08673776,-11.4265478,"Cem Reias",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"1444",1444,1100148,"Nova Brasilândia D'Oeste","RO",-62.10224665,-11.44702319,"Alto Bonito",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"1445",1445,1100320,"São Miguel do Guaporé","RO",-62.89039454,-11.76020384,"P?o de ?ndio",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"1446",1446,1100320,"São Miguel do Guaporé","RO",-62.90173711,-11.76472974,"Coco Verde",0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
"1447",1447,1101492,"São Francisco do Guaporé","RO",-63.29587884,-11.99353472,"Jo?o Dur?o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1448",1448,1101500,"Seringueiras","RO",-63.26646775,-11.95815063,"Porto Olga",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"1449",1449,1101492,"São Francisco do Guaporé","RO",-63.35692001,-12.04334594,"Fortaleza",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1450",1450,1101492,"São Francisco do Guaporé","RO",-63.38512936,-12.04599425,"Plan?cie",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1451",1451,1101492,"São Francisco do Guaporé","RO",-63.39691818,-12.04680969,"Bacuri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1452",1452,1101492,"São Francisco do Guaporé","RO",-63.42309632,-12.04858888,"4 Irm?os",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1453",1453,1101492,"São Francisco do Guaporé","RO",-63.46234295,-12.05236084,"Z? das Mo?as",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1454",1454,1101492,"São Francisco do Guaporé","RO",-63.60686039,-12.06309794,"Choque",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1455",1455,1101492,"São Francisco do Guaporé","RO",-63.65561967,-12.06668594,"Nome",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1456",1456,1101492,"São Francisco do Guaporé","RO",-63.92641982,-12.06239925,"Bom Jesus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1457",1457,1100080,"Costa Marques","RO",-64.00322942,-12.05395916,"S?o Domingos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1458",1458,1100080,"Costa Marques","RO",-64.23918489,-12.3785242,"Igarap? Grande",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1459",1459,1100080,"Costa Marques","RO",-64.21609706,-12.39582497,"Ch?cara do Negrinho",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
