"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome","th","tnh","td","tr","ti","u","as","q","pi","us","sd","ou","mi","mf","p","m","g","d","nrow"
"819",1200179,"Capixaba","AC",-67.634155,-10.525288,"Fazenda Gavi?o 2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"820",1200179,"Capixaba","AC",-67.632858,-10.523973,"Fazenda Gavi?o 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"821",1200385,"Plácido de Castro","AC",-67.541115,-10.328333,"Marimbondo",0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,"asusmfp",17
"822",1200385,"Plácido de Castro","AC",-67.566391,-10.433333,"Encrenca I",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"823",1200385,"Plácido de Castro","AC",-67.607498,-10.357224,"Ramal Encrenca",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"824",1200450,"Senador Guiomard","AC",-67.422218,-9.897222,"Tequinho",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"825",1200401,"Rio Branco","AC",-67.90139,-9.848889,"Aeroporto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"826",1300706,"Boca do Acre","AM",-67.191154,-8.711951,"Nakahara.AM.01",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",575
"827",1302553,"Manaquiri","AM",-60.52194444,-3.464722222,"Terreno Bela Vista",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"828",1200450,"Senador Guiomard","AC",-67.490555,-9.963611,"Seu Chiquinho",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"829",1200450,"Senador Guiomard","AC",-67.616112,-10.054722,"Balne?rio Quinau?",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"830",1200138,"Bujari","AC",-67.916946,-9.696111,"Bujari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"831",1200401,"Rio Branco","AC",-67.803055,-10.075,"Distra??o",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",199
"832",1200401,"Rio Branco","AC",-67.746948,-9.827778,"Estrada Velha",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",575
"833",1200807,"Porto Acre","AC",-67.478615,-9.913889,"Fazenda Boa Vista",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",575
"834",1200138,"Bujari","AC",-67.821388,-9.7625,"Mutum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"835",1200450,"Senador Guiomard","AC",-67.65889,-10.096667,"Nascentes do Quinau?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"836",1200401,"Rio Branco","AC",-67.59776909,-9.933250651,"Piloto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"837",1200807,"Porto Acre","AC",-67.724167,-9.576944,"Quadrado",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"838",1200401,"Rio Branco","AC",-67.673058,-9.915278,"Quixad?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"839",1200807,"Porto Acre","AC",-67.792503,-9.623333,"Riozinho do Andir?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"840",1200401,"Rio Branco","AC",-68.004166,-10.070833,"Riozinho do Rola 1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",199
"841",1200401,"Rio Branco","AC",-67.99472,-10.078333,"Riozinho do Rola 2",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",199
"842",1200401,"Rio Branco","AC",-68.18528,-10.051667,"Riozinho do Rola 3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"843",1200807,"Porto Acre","AC",-67.666946,-9.701111,"Angelim",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"asusp",77
"844",1200450,"Senador Guiomard","AC",-67.507225,-10.025,"Severino Calazans",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"mf",383
"845",1200401,"Rio Branco","AC",-67.728333,-10.028611,"Soberana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"846",1200401,"Rio Branco","AC",-68.011665,-10.000833,"Transacreana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"p",575
"847",1200807,"Porto Acre","AC",-67.758614,-9.621111,"Vila V",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"848",1200401,"Rio Branco","AC",-67.673615,-9.978889,"Xanadu I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"849",1200401,"Rio Branco","AC",-67.665207,-9.978019,"Xanadu II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"g",857
"850",1200807,"Porto Acre","AC",-67.440277,-9.884722,"Vila Pia",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"asusp",77
"851",1200401,"Rio Branco","AC",-67.940277,-10.088611,"Macau?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"m",367
"852",1302504,"Manacapuru","AM",-60.64674999,-3.458888889,"S?o Jo?o",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,"asusp",77
"853",1302553,"Manaquiri","AM",-60.51530556,-3.460805556,"S?o Jorge",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",199
"854",1302553,"Manaquiri","AM",-60.51505753,-3.484651249,"Santa Maria",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"855",1302553,"Manaquiri","AM",-60.51808333,-3.479027778,"S?o Francisco",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"856",1302553,"Manaquiri","AM",-60.52144445,-3.4485,"Santa Ana",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",199
"857",1302553,"Manaquiri","AM",-60.51917178,-3.443915493,"Porto do Centro Social",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,"asmf",199
"858",1302553,"Manaquiri","AM",-60.52444445,-3.472305556,"Centro Social",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1910
"859",1302553,"Manaquiri","AM",-60.59632195,-3.493981915,"Comunidade Caminhando com Cristo",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"sd",288
"860",1302553,"Manaquiri","AM",-60.52341667,-3.4615,"Santo Antonio",0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,"asusmf",159
"861",1302603,"Manaus","AM",-60.77588322,-2.479461036,"Santa Rosa (AM-MA-09)",0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,"asusm",36
