"","CD_MUN","NM_MUN","SIGLA_UF","longitude","latitude","nome"
"261","1302702","Manicoré","AM",-61.702472,-5.875905,"Santa Silvia"
"262","1300805","Borba","AM",-59.323361,-4.048416,"S?o Felipe (AM-BO-01)"
"263","1303304","Novo Aripuanã","AM",-60.427948,-5.327963,"S?o Felix do Aripuan?"
"264","1303304","Novo Aripuanã","AM",-60.438073,-5.348863,"S?o Francisco"
"265","1303304","Novo Aripuanã","AM",-60.057014,-4.912282,"Vista Nova"
"266","1300805","Borba","AM",-59.279009,-3.951004,"S?o Paulo (AM-CR-09)"
"267","1300805","Borba","AM",-59.684477,-4.325801,"Vila Gomes"
"268","1303304","Novo Aripuanã","AM",-60.276081,-5.033695,"Seringal Bel?m (AM-NA-05)"
"269","1100205","Porto Velho","RO",-62.931558,-8.096378,"S?o Domingos"
"270","1300144","Apuí","AM",-60.19278198,-7.922943292,"Seringal da Sama?ma"
"271","1303304","Novo Aripuanã","AM",-60.374444,-5.591747,"Severino"
"272","1302702","Manicoré","AM",-61.09446219,-5.569862538,"Taboca (AM-MC-28)"
"273","1100205","Porto Velho","RO",-62.929634,-8.090016,"Ponto prov?vel"
"274","1303304","Novo Aripuanã","AM",-60.410894,-5.533639,"Tasilva"
"275","1302702","Manicoré","AM",-61.584732,-5.995145,"Terra Preta"
"276","1300144","Apuí","AM",-59.50003056,-8.55775,"Terra Preta da Castanheira"
"277","1300144","Apuí","AM",-60.03128251,-8.225357616,"Terra Preta das Caretas"
"278","1300144","Apuí","AM",-59.40749237,-8.732759447,"Terra Preta do Anaj?"
"279","1300144","Apuí","AM",-59.41771674,-8.748763635,"Terra Preta do Campo Grande"
"280","1300300","Autazes","AM",-59.20381005,-3.69014591,"Terra Preta do Cavaquinho"
"281","1300144","Apuí","AM",-59.94647222,-8.306277778,"Terra Preta do Cujubim"
"282","1300300","Autazes","AM",-59.22225256,-3.760008964,"Terra Preta do Greg?rio"
"283","1300144","Apuí","AM",-59.52255556,-8.525777778,"Terra Preta do Guariba"
"284","1302702","Manicoré","AM",-61.039325,-5.652955,"Terra Preta do Limoeiro"
"285","1300300","Autazes","AM",-59.22906151,-3.698033562,"Terra Preta do Nobre"
"286","1300144","Apuí","AM",-59.45814197,-8.677158138,"Terra Preta do Samuel"
"287","1300144","Apuí","AM",-59.86022662,-8.357192661,"Terra Preta do S?o Adriano"
"288","1300144","Apuí","AM",-59.47502778,-8.574,"Terra Preta do Tucum?"
"289","1300300","Autazes","AM",-59.24729563,-3.732974351,"Terra Preta Dona Nazira"
"290","1300300","Autazes","AM",-59.23037454,-3.716685152,"Terra Preta Sampainho"
"291","1300805","Borba","AM",-59.90993,-4.839073,"Traipu (AM-BO-08)"
"292","1300805","Borba","AM",-59.517671,-4.243067,"Trocana (AM-CR-14)"
"293","1300300","Autazes","AM",-58.927358,-3.548538,"Urucurituba (AM-CR-07)"
"294","1301308","Codajás","AM",-62.0974488,-3.660444818,"antiga clareira 22"
"295","1300102","Anori","AM",-61.64429333,-3.758329434,"Boa Vista"
"296","1301209","Coari","AM",-63.01322447,-3.979315697,"Jenipapo II"
"297","1301308","Codajás","AM",-62.27700022,-3.65500009,"Badaj?s"
"298","1301209","Coari","AM",-62.881,-3.907,"Cemit?rio Curupira"
"299","1301209","Coari","AM",-64.14584016,-4.383981176,"Clareira 9"
"300","1302504","Manacapuru","AM",-60.85529285,-3.237878981,"Cumaru"
"301","1301209","Coari","AM",-63.0383097,-3.98614918,"Esp?rito Santo"
"302","1302504","Manacapuru","AM",-60.70100127,-3.223000307,"Fazenda Concei??o"
"303","1300086","Anamã","AM",-61.42487871,-3.549032411,"Gravet?o"
"304","1302504","Manacapuru","AM",-60.426001,-3.221999,"Jacuruxi"
"305","1301209","Coari","AM",-63.02770474,-3.922495974,"Jenipapo"
"306","1301308","Codajás","AM",-62.6672596,-3.748859613,"Lago do Jabuti"
"307","1302504","Manacapuru","AM",-61.12612913,-3.1310588,"Patau?"
"308","1302504","Manacapuru","AM",-60.64199999,-3.225999631,"Mandiocal"
"309","1300086","Anamã","AM",-61.417,-3.556,"Maria de Jesus"
"310","1301852","Iranduba","AM",-60.19234815,-3.210715718,"Minas Gerais"
"311","1301209","Coari","AM",-62.66680227,-3.83780691,"Naz?rio"
"312","1302504","Manacapuru","AM",-60.77393963,-3.237205533,"Nossa Senhora Aparecida"
"313","1302504","Manacapuru","AM",-60.76707086,-3.239021236,"Nossa Senhora do Perp?tuo Socorro"
"314","1302504","Manacapuru","AM",-60.77623516,-3.232048619,"Nossa Senhora Ros?rio"
"315","1301209","Coari","AM",-63.85907167,-4.3007836,"Nova Esperan?a"
"316","1301852","Iranduba","AM",-60.33500013,-3.201999967,"Pil?o"
"317","1300086","Anamã","AM",-61.71933787,-3.504120825,"Primavera"
"318","1301209","Coari","AM",-62.94198197,-3.878998465,"Santa Cruz"
"319","1301209","Coari","AM",-63.72699686,-4.251999056,"Santa F?"
"320","1301209","Coari","AM",-62.927,-3.894,"S?o Fancisco do Curuta?"
"321","1300086","Anamã","AM",-61.7235106,-3.513532815,"S?o Jorge I"
"322","1300086","Anamã","AM",-61.71795022,-3.505330881,"S?o Jorge II"
"323","1301209","Coari","AM",-63.134,-3.961,"S?o Paulo II"
"324","1302504","Manacapuru","AM",-60.63700023,-3.223999617,"Seu Ant?nio"
"325","1301209","Coari","AM",-63.15185142,-3.929516732,"Terra Preta"
"326","1300839","Caapiranga","AM",-61.23999821,-3.249001518,"Zetota"
"327","1301308","Codajás","AM",-62.1097509,-3.6302219,"Monte Sinai"
"328","1302504","Manacapuru","AM",-60.91338959,-3.260259744,"Gremio"
"329","1300086","Anamã","AM",-61.72021434,-3.501734258,"Maciel"
"330","1300839","Caapiranga","AM",-61.2310364,-3.283477637,"Do Brega"
"331","1301852","Iranduba","AM",-60.17236191,-3.208094124,"Morro Alto"
"332","1301209","Coari","AM",-65.04369383,-4.756053123,"Porto Evandro"
"333","1301209","Coari","AM",-64.77725692,-4.735615291,"Clareira 2"
"334","1301209","Coari","AM",-64.57438775,-4.645637931,"Clareira 4"
"335","1301209","Coari","AM",-64.40542749,-4.539474901,"Clareira 6"
"336","1301209","Coari","AM",-63.30647606,-4.004493909,"Clareira 16"
"337","1301209","Coari","AM",-63.97910041,-4.311999733,"Clareira 10A"
"338","1302504","Manacapuru","AM",-60.64833056,-3.237597222,"Texas"
"339","1300086","Anamã","AM",-61.69368777,-3.572784418,"Mato Grosso"
"340","1302504","Manacapuru","AM",-60.89509673,-3.170651973,"Seu Francisco"
"341","1600501","Oiapoque","AP",-51.77651944,3.928797222,"3 Mamelons"
"342","1600204","Calçoene","AP",-51.11562778,2.627733333,"Abrigo Bandit"
